Year,DOY,Tmax,Tmin,Tmean,Rain,SolarRad,VPD,FrostHours,DayIrrig,RH,SWC,Wind
2015,1,11.41969444,6.855441667,8.498912589,0,0.846573905,0.004092057,0,0,95.48317901,27.73906958,6.148422511
2015,2,6.344841667,0.395352778,2.147089931,0,2.11138291,0.004662963,0,0,96.18564815,28.30856824,5.42853145
2015,3,4.363255556,-0.574261111,2.054939005,0,1.79934916,0.006638661,0,0,93.48206019,28.25044938,3.959216057
2015,4,3.873552778,-0.849494444,1.655799248,0,3.216081485,0.008784638,0,0,83.75548611,28.02331801,3.729726361
2015,5,7.441872222,3.265647222,5.721166435,0,0.74243397,0.00449626,0,0,93.61008333,27.85169488,2.799159747
2015,6,6.619930556,1.027997222,3.873750752,0,2.04562255,0.002802269,0,0,95.61481481,27.73049954,3.173138497
2015,7,8.567872222,1.565955556,5.275682523,0,1.22858429,0.002679615,0,0,97.56177778,27.69044833,5.372765119
2015,8,5.528552778,1.836238889,3.402021817,0,2.511258235,0.007872069,0,0,87.33143687,27.98675354,4.998424486
2015,9,10.66922222,2.581894444,6.455418576,0,1.32501823,0.007471406,0,0,88.35072917,28.76607146,6.823931753
2015,10,10.52563889,-0.531772222,2.949858044,0,2.53597908,0.001859003,0,0,96.49041667,28.91314201,6.466978802
2015,11,5.183122222,-0.832533333,1.927448553,0,0.98540135,0.001460884,0,0,99.55511574,28.86835218,5.656815725
2015,12,7.463675,-0.031955556,3.65660897,0,2.519059915,0.009437681,0,0,85.7392662,28.98412118,6.268792119
2015,13,2.577072222,-1.707527778,0.026488729,0,2.526246727,0.001672722,0,0,96.99920792,28.85764545,4.576675432
2015,14,4.159952778,-1.781830556,-0.131081829,0,2.497833729,0.001099352,0,0,98.90123016,NA,5.241921471
2015,15,5.715594444,0.503058333,3.284388773,0,2.081395243,0.012016762,0,0,67.04862103,NA,7.001209637
2015,16,2.154991667,-0.556422222,0.523839178,0,1.860382781,0.00510134,0,0,87.02660684,NA,4.315501862
2015,17,1.949961111,-1.573136111,0.495572743,0,2.032913774,0.004311406,0,0,88.97751984,NA,3.150700593
2015,18,0.828066667,-2.567347222,-0.806362789,0,1.793930849,0.002244901,0,0,100,NA,3.458726425
2015,19,0.673177778,-1.296330556,-0.03953235,0,2.51291478,9.94E-05,0,0,100,NA,2.854351144
2015,20,0.164488889,-2.211375,-1.069315046,0,2.026348425,2.70E-06,0,0,99.98420635,NA,1.908035945
2015,21,0.274694444,-2.219430556,-0.3521511,0,1.866356968,0,0,0,100,NA,1.98508813
2015,22,2.068077778,-1.471172222,0.39949265,0,1.990961129,0.001638952,0,0,94.27946581,NA,1.66493297
2015,23,5.796369444,-0.983858333,2.03182228,0,1.860382781,0.00067164,0,0,99.2725641,NA,3.672253661
2015,24,3.073044444,-0.599675,1.389922975,0,2.032913774,0.001791286,0,0,93.19730159,NA,3.646227347
2015,25,8.011911111,2.548297222,5.820270949,0,1.793930849,0.00142906,0,0,98.79396825,NA,5.099325755
2015,26,7.8009,1.084908333,3.417092014,0,2.51291478,0.003553211,0,0,89.61902976,NA,4.254042388
2015,27,5.821425,1.603533333,4.27341985,0,2.026348425,0.002093499,0,0,98.0237069,NA,4.259415324
2015,28,6.862891667,-1.105936111,2.045729572,0,1.866356968,0.002212552,0,0,99.36235597,NA,3.648402531
2015,29,-0.119469444,-2.893666667,-1.191153009,0,1.990961129,0.002202146,0,0,98.73814176,NA,4.198011481
2015,30,2.288730556,-3.11915,-0.292926678,0,1.860382781,0.004557977,0,0,87.63698704,28.5086629,4.19068127
2015,31,1.793063889,-0.027436111,0.934270486,0,2.032913774,0.006855705,0,0,87.21050868,28.48776181,5.843558602
2015,32,0.464677778,-3.550858333,-0.862516797,0,1.793930849,0.009220346,0,0,75.05105642,28.41915319,5.169050062
2015,33,0.525369444,-3.751541667,-1.698486748,0,2.51291478,0.010839549,0,0,74.55008165,28.20149231,3.034533411
2015,34,1.786677778,-2.593361111,-0.630586748,0,3.494743612,0.00593634,0,0,85.7955119,28.01161299,3.273645806
2015,35,1.3736,-1.946563889,-0.227721701,0,4.726436666,0.005843549,0,0,91.54700292,27.88915188,3.289943075
2015,36,4.459675,0.437963889,2.343015799,0,5.035010194,0.005428609,0,0,92.84956871,27.81415539,2.568913582
2015,37,3.827805556,0.195675,2.343635185,0,5.387447999,0.001410942,0,0,99.02562678,28.02180097,2.031383384
2015,38,5.330641667,-0.897072222,2.309614178,0,5.356069511,0.009409784,0,0,86.76052707,28.07226634,2.600820649
2015,39,5.505516667,0.852383333,2.519994329,0,6.976202195,0.007373974,0,0,84.88205698,28.04841924,3.383649463
2015,40,6.880636111,1.881061111,3.659093056,0,7.462348613,0.004051538,0,0,89.47606695,28.11110988,4.332516298
2015,41,3.734413889,0.636022222,2.086516551,0,8.339499262,0.000392421,0,0,98.80294444,28.11954412,3.849023106
2015,42,2.770211111,-0.179247222,1.310611863,0,9.152892581,0.000706978,0,0,97.89102083,28.17772146,2.686704201
2015,43,3.946594444,1.273608333,2.608897396,0,8.192074852,0.002291552,0,0,96.97593305,28.14745384,2.163169237
2015,44,4.709472222,-0.125191667,2.41264213,0,7.840297073,0.000710698,0,0,100,28.12042637,2.988237824
2015,45,5.7551,4.699163889,5.053653009,0,6.864575789,3.27E-06,0,0,100,28.06757171,2.325704275
2015,46,5.117891667,2.592233333,4.179172859,0,6.976202195,0,0,0,100,27.98739993,2.894006289
2015,47,5.080138889,0.344511111,3.187375387,0,7.462348613,0.001858365,0,0,97.29664247,28.21864028,2.812698056
2015,48,5.732622222,-0.795305556,2.842002894,0,8.339499262,0.006305826,0,0,91.52404558,28.39538926,4.033145188
2015,49,9.2405,5.097169444,6.840230498,0,9.152892581,0.009408042,0,0,93.94669591,28.26985227,5.047684573
2015,50,7.137066667,2.098969444,5.23066412,0,8.192074852,0.007016366,0,0,85.90095175,28.14262289,4.810619721
2015,51,4.007411111,0.133780556,2.026114815,0,7.840297073,0.004220922,0,0,87.33661862,28.02872144,3.455499841
2015,52,4.307844444,-1.014594444,0.972290162,0,6.864575789,0.008069317,0,0,78.18249097,27.93332144,3.312005581
2015,53,4.602561111,-0.505030556,1.509836053,0,6.976202195,0.000930951,0,0,99.00933333,28.20582507,3.327637021
2015,54,3.895788889,0.549186111,1.976450058,0,7.462348613,0.006448331,0,0,83.69075071,29.09778067,6.005468435
2015,55,3.541336111,-0.282986111,1.588841377,0,8.339499262,0.00508835,0,0,88.73781197,28.72175854,4.928407527
2015,56,7.503952778,0.245880556,3.725732002,0,9.152892581,0.00675379,0,0,81.8754188,28.4729228,2.485338762
2015,57,8.536833333,0.003361111,4.288606424,0,8.192074852,0.005828422,0,0,85.90795175,28.46941926,4.194329512
2015,58,4.180313889,-0.105911111,1.880813831,0,6.976202195,0.009922473,0,0,82.58099145,28.46179225,3.915335565
2015,59,6.65375,3.401311111,5.234232176,0,6.976202195,0.006117961,0,0,91.49533626,28.31951373,5.062133065
2015,60,4.604685237,-0.074638889,2.443143963,0,6.976202195,0.006178764,0,0,85.70478509,28.38408567,5.761762321
2015,61,2.777577778,-0.538361111,0.495358796,0,7.94849503,0.007720285,0,0,84.11374708,28.26716507,4.63339259
2015,62,2.694869444,-0.917147222,0.594240394,0,10.09380056,0.00773841,0,0,79.14070906,28.11146037,4.619484505
2015,63,6.578072222,-0.106005556,2.636891667,0,11.59307254,0.013840154,0,0,74.46868915,28.08344442,3.650339172
2015,64,6.782991667,2.918877778,5.393156771,0,4.348803935,0.012735581,0,0,82.93825731,27.98735347,5.180883784
2015,65,7.386772222,5.1056,6.04570897,0,6.08140818,0.018934191,0,0,73.39343056,27.86381188,5.147199692
2015,66,8.415611111,6.619227778,7.192939757,0,1.01024808,0.00579148,0,0,100,27.82599826,5.8177789
2015,67,7.954941667,0.091494444,5.258674248,0,6.90530324,0.013169759,0,0,76.34501754,27.88616065,4.862100203
2015,68,8.053202778,-0.548558333,3.356995428,0.4,3.601821492,0.011958771,0,0,85.49965278,27.76256588,4.520072642
2015,69,7.507702778,1.714019444,3.96655706,0,10.94111941,0.017588428,0,0,69.24963492,27.66331259,3.326858412
2015,70,6.371763889,-1.520658333,2.70879838,3.4,5.86125179,0.011110304,0,0,83.67292196,27.5783069,3.470848739
2015,71,7.910922222,0.117280556,4.527459549,6.2,1.652853445,0.008075401,0,0,96.39045425,27.59571657,3.676166108
2015,72,4.054877778,0.322786111,2.212188773,8.6,2.49515556,0.001596887,0,0,100,29.49739229,2.797030425
2015,73,3.043675,-0.281416667,1.192913252,0,4.093483205,0.010772096,0,0,78.66942544,28.96116428,2.350346519
2015,74,5.251208333,0.456413889,2.851761921,0,6.139641045,0.00417184,0,0,89.40463095,28.58624435,2.683137147
2015,75,3.538441667,2.002155556,2.695526042,1.6,1.916193095,8.26E-05,0,0,100,28.39217019,2.276008736
2015,76,4.661041667,1.672813889,3.107456887,0,2.214199485,0.000447277,0,0,100,28.29006498,1.79159865
2015,77,7.440513889,2.276925,4.762303067,0,8.86792174,0.012236544,0,0,81.68673677,28.14489067,1.721553986
2015,78,10.83955556,2.964897222,6.357800521,0,13.34805228,0.031661734,0,0,60.12802513,27.96741729,1.800335597
2015,79,9.8265,2.785033333,6.173134491,0,10.38774248,0.017236799,0,0,79.52046958,27.79673979,3.401706279
2015,80,4.758505556,0.572438889,2.894151736,0,8.397337875,0.016632443,0,0,72.26030303,27.65270579,2.57198901
2015,81,8.20145,-0.081527778,3.26353478,0,14.61948099,0.017127804,0,0,72.71752295,27.53876903,3.201656823
2015,82,8.512305556,0.897552778,4.853252257,0.6,7.48598278,0.015321314,0,0,74.78482222,27.43485262,3.890591453
2015,83,6.051947222,-1.148,2.182202543,2.4,11.32332088,0.010149691,0,0,82.54192235,27.3505291,2.31304457
2015,84,8.583626316,3.003822432,6.009420983,0,10.31193358,0.013952404,0,0,75.87547845,27.32343988,1.989593601
2015,85,9.430054688,2.579194964,5.837201225,3.2,8.568638805,0.013704535,0,0,78.0341402,27.4718315,4.044463831
2015,86,9.744733148,1.959766231,6.115791989,0,12.92368712,0.008556978,0,0,75.83855289,27.4910916,3.01711967
2015,87,14.15255556,1.757994432,8.316717463,5.8,8.207019745,0.019901055,0,0,81.11030538,27.55724713,4.624539222
2015,88,13.58144444,1.830444816,11.74453748,6.4,8.595573325,0.032083434,0,0,82.11882015,27.86368361,4.069609894
2015,89,12.10420833,0.410131771,8.4549522,3.8,11.73184582,0.021041194,0,0,80.34740891,28.16665808,4.833772775
2015,90,13.32627778,0.314851198,9.845917476,1,13.74834077,0.011184301,0,0,81.07857234,28.35866275,5.871034215
2015,91,11.75106515,5.305288757,9.88512455,0,14.30960238,0.014988793,0,0,72.62577289,28.14441377,4.133672324
2015,92,12.66911111,6.587909804,9.795295641,0,15.58429833,0.017042704,0,0,71.04802177,27.91845889,2.233841725
2015,93,11.1776291,6.985584052,9.246251574,4.4,3.57944669,0.026425447,0,0,75.69667001,27.90977009,2.397459302
2015,94,12.05929109,6.971761469,9.316230291,0.2,6.22662563,0.025990627,0,0,72.18663982,27.94566377,1.842511993
2015,95,11.95022347,6.299326807,8.796685973,0,20.66163195,0.027613671,0,0,65.94428695,27.79867269,2.136755907
2015,96,11.96372625,5.623853952,7.793843068,0,19.61062706,0.021095226,0,0,67.52121183,27.59961345,2.373544415
2015,97,11.56052778,4.67295,8.009335789,0,19.50872201,0.025016972,0,0,65.85086668,27.38039278,3.103426162
