Year,DOY,Tmax,Tmin,Tmean,Rain,SolRad,VPD,FrostHours,DayIrrig,RH,SWC
2015,1,11.419694444444,6.85544166666667,8.48424583541027,0,1.47309450309192,0.00409205696672914,0,0,95.7915740740741,27.7390695789474
2015,2,6.34484166666704,0.395352777777778,2.14208993055554,0,3.904260305,0.00466296251985269,0,0,95.8405303030303,28.3085682407407
2015,3,4.36325555555601,-0.574261111111111,2.04993900462965,0,3.231387325,0.00663866071373513,0,0,93.4820601851852,28.250449375
2015,4,3.873552777778,-0.849494444444444,1.65079924768521,0,6.067455525,0.00878463806268657,0,0,84.1330982905983,28.0233180092593
2015,5,7.441872222222,3.26564722222222,5.71616643518517,0,1.188752835,0.00449626008471408,0,0,93.5647916666667,27.8516948842593
2015,6,6.61993055555604,1.02799722222222,3.86875075231483,0,3.741194835,0.00280226868915364,0,0,95.10625,27.730499537037
2015,7,8.56787222222204,1.56595555555556,5.27068252314814,0,2.217674175,0.00267961526140978,0,0,97.7834343434344,27.6904483333333
2015,8,5.52855277777803,1.83623888888889,3.3970218171296,0,4.71121457,0.0078720693510241,0,0,87.4005763888889,27.9867535416667
2015,9,10.669222222222,2.58189444444444,6.4504185763889,0,2.522222,0.00747140644217771,0,0,88.3507291666667,28.7660714583333
2015,10,10.525638888889,-0.531772222222222,2.94485804398152,0,4.868550295,0.00185900252100008,0,0,96.3664646464646,28.9131420138889
2015,11,5.18312222222204,-0.832533333333333,1.92244855324077,0,1.69218893,0.0014608835532838,0,0,99.4068209876543,28.8683521759259
2015,12,7.46367500000002,-0.0319555555555556,3.65160896990741,0,4.76622372,0.00943768096859528,0,0,86.3716517094017,28.9841211805556
2015,13,2.577072222222,-1.70752777777778,0.0214887293635338,0,5.02938932182051,0.00167272173194214,0,0,93.3122277207559,28.8576454497355
2015,14,4.15995277777802,-1.78183055555556,-0.136081828703708,0,4.95132175547436,0.0010993519763527,0,0,99.3946064814815,NA
