"","Year","DOY","week","Month","Tmax","Tmin","Tmean","Rain","SolarRad","FrostDays","MonthIrrig","VPD","RH","SWC"
"1",1973,1,1,1,7.7,5.5,6.6,0.3,6.44156301041071,0,0,0.000778786600314717,92.0092748018187,NA
"2",1973,2,1,1,8,5.9,6.95,0.7,6.53147323819197,0,0,0.000732107751894405,92.6669169782479,NA
"3",1973,3,1,1,8.6,1.9,5.25,6.3,14.5192378424995,0,0,0.0012811958623426,85.5656674526479,NA
"4",1973,4,1,1,6,1.2,3.6,0,9.24799264216312,0,0,0.00108232661354387,86.3102238049073,NA
"5",1973,5,1,1,6,-4.4,0.8,0,19.0619390139433,0,0,0.00167054019181457,74.1908803096333,NA
"6",1973,6,1,1,3.9,-3.4,0.25,0,11.42076471093,0,0,0.00115512151272089,81.4283723909726,NA
"7",1973,7,2,1,3.4,-1.5,0.95,0,6.68896531586622,0,0,0.000867089035743319,86.7482266959263,NA
"8",1973,8,2,1,0.5,-5.1,-2.3,0.2,4.84077173802794,1,0,0.000706117207968141,86.310279133865,NA
"9",1973,9,2,1,4,-1.7,1.15,0.2,8.6967774304871,0,0,0.000981607206974185,85.2129126368808,NA
"10",1973,10,2,1,5.6,3,4.3,1.1,4.8334368757251,0,0,0.000614538341911395,92.6008458046022,NA
"11",1973,11,2,1,4.9,1.1,3,0.4,6.28835882872307,0,0,0.000803688005125112,89.393506626955,NA
"12",1973,12,2,1,2.3,-2.7,-0.2,0,5.70740512532899,1,0,0.000794048024664876,86.8086797374364,NA
"13",1973,13,2,1,0.2,-3.7,-1.75,0,1.57121166938005,1,0,0.000552395308258143,89.7178348561778,NA
"14",1973,14,3,1,2.2,-1.3,0.45,1.9,2.73441776848053,0,0,0.000495454860900729,92.1490172797604,NA
"15",1973,15,3,1,4.5,1.6,3.05,2.8,3.98845460257014,0,0,0.000500515131379944,93.4179551357368,NA
"16",1973,16,3,1,4.9,0.6,2.75,6,6.45992584224481,0,0,0.000625557335280575,91.5964140818438,NA
"17",1973,17,3,1,3.1,-6.7,-1.8,0,14.9606749640219,1,0,0.0012728747949957,76.2193111074634,NA
"18",1973,18,3,1,5.525852205,-7.9,-1.187073898,0,23.866080985245,1,0,0.0018053029458332,67.7617692900639,NA
"19",1973,19,3,1,0.7,-5.8,-2.55,0,6.65350914915025,1,0,0.000811861556824739,83.9651468549642,NA
"20",1973,20,3,1,5.435439314,-1.820480686,1.807479314,0,12.9582516375863,0,0,0.00131274985752618,81.137299016341,NA
"21",1973,21,4,1,1,-2.1,-0.55,4.2,0.482026487609552,1,0,0.000321304855146956,94.5240997133412,NA
"22",1973,22,4,1,2.7,-0.4,1.15,14.2,1.01146864936754,0,0,0.000222540973584748,96.6476073169685,NA
"23",1973,23,4,1,2.9,-0.2,1.35,2.3,2.71923877207139,0,0,0.000464728454480753,93.0993617147736,NA
"24",1973,24,4,1,7.7,1.8,4.75,2.6,12.6363561746294,0,0,0.00119925507913141,86.0089685554274,NA
"25",1973,25,4,1,8,5.7,6.85,0,6.97005609767895,0,0,0.000870832752949767,91.2172452088093,NA
"26",1973,26,4,1,8.2,2.4,5.3,4.9,12.6975081080124,0,0,0.00114531161831086,87.1414326752529,NA
"27",1973,27,4,1,6.7,2.3,4.5,0.3,9.24539718500835,0,0,0.00105287461538583,87.4998040426337,NA
"28",1973,28,5,1,5.8,-1.2,2.3,0,12.8931426224993,0,0,0.00132650938735827,81.5993931259842,NA
"29",1973,29,5,1,7.8,5.4,6.6,0,6.93497618859754,0,0,0.000872164917695852,91.0511683406139,NA
"30",1973,30,5,1,9.2,4.6,6.9,1.8,12.0362540738321,0,0,0.00120027614101367,87.9361850334114,NA
"31",1973,31,5,2,5.9,0.6,3.25,0,10.0190733782119,0,0,0.00113738469115027,85.2533095542251,NA
"32",1973,32,5,2,4,0.6,2.3,0,4.69121653487184,0,0,0.000732190325985865,89.8434594780711,NA
"33",1973,33,5,2,7.6,2.9,5.25,0,10.7553752112869,0,0,0.00123164511977834,86.1239208135609,NA
"34",1973,34,5,2,10.9,3,6.95,0,19.8337722652612,0,0,0.00215966126903737,78.3679720044846,NA
"35",1973,35,6,2,7.8,5.9,6.85,0.1,6.04614743757709,0,0,0.000762046219571416,92.3144081761062,NA
"36",1973,36,6,2,7.8,2.5,5.15,0.3,11.9794477990777,0,0,0.00129790332470423,85.2751825198248,NA
"37",1973,37,6,2,8.4,0.8,4.6,0.2,16.65374616676,0,0,0.00169696684183132,79.9935129638532,NA
"38",1973,38,6,2,8.4,2.9,5.65,1.2,12.8476808847988,0,0,0.0013040370563216,85.7113749100667,NA
"39",1973,39,6,2,7.5,2.7,5.1,0.4,10.7751256209054,0,0,0.00117922105283822,86.5749184065072,NA
"40",1973,40,6,2,6.7,0,3.35,2.8,12.9615366777733,0,0,0.00119307516891126,84.640375127521,NA
"41",1973,41,6,2,3.9,-1.2,1.35,0,7.56528577915921,0,0,0.00093007516824435,86.1895430498302,NA
